RMS,Peak,Freq,Crest,THD
0.0036,0.014,1262.5,3.903,6.751794419675664
0.0034,0.0117,1312.5,3.465,5.7527963952409955
0.0033,0.0088,1312.5,2.655,6.047110474618448
0.0033,0.0112,1187.5,3.435,6.655421479866006
0.0034,0.0215,1187.5,6.276,6.652645587817447
0.0034,0.0174,1350.0,5.045,6.141325685970645
0.003,0.0088,1250.0,2.969,6.100048967537851
0.0028,0.0096,1287.5,3.432,6.462711589037611
0.003,0.0088,1262.5,2.987,6.856346209509399
0.0031,0.0114,1125.0,3.688,6.816654073270659
0.0029,0.0101,1262.5,3.434,6.19051845695241
0.0028,0.0066,1212.5,2.32,6.411240063943256
0.0028,0.0094,1375.0,3.359,5.876537200864212
0.0028,0.0078,1237.5,2.756,7.45637413839988
0.0028,0.0081,1137.5,2.873,7.351762549804002
0.0026,0.0093,1387.5,3.661,5.8585013060385
0.0028,0.0081,1162.5,2.912,6.966863075181295
0.003,0.0093,1137.5,3.076,5.2602401153607685
0.0027,0.0088,1250.0,3.271,6.116956173927114
0.0028,0.0082,1237.5,2.982,6.813427969297546
0.0028,0.0075,1300.0,2.709,5.848482979643947
0.0027,0.0086,1300.0,3.206,6.244245341316171
0.0029,0.0102,1100.0,3.482,6.4952894548263265
0.0037,0.0191,1262.5,5.181,5.597942209676008
0.0022,0.0077,1237.5,3.477,6.706022216857254
0.0028,0.0161,1250.0,5.711,6.973766522355956
0.0023,0.0083,1250.0,3.666,6.962758266963296
0.0024,0.0089,1237.5,3.748,5.6628339410730995
0.002,0.0058,1337.5,2.93,5.343138990390526
0.0022,0.0065,1212.5,2.97,6.960965332421414
0.0022,0.0081,1150.0,3.761,5.82188925006519
0.0021,0.0077,1325.0,3.657,6.769142247313936
0.0021,0.0083,1362.5,3.898,6.3511166081836805
0.002,0.0061,1212.5,3.064,5.102944887742946
0.0021,0.0067,1325.0,3.161,6.510343350064282
0.0024,0.008,1162.5,3.305,6.5789349486519475
0.0022,0.0074,1362.5,3.363,6.329690761533797
0.0021,0.0057,1250.0,2.71,6.0884468485964875
0.0021,0.0092,1262.5,4.354,6.61354913378171
0.0022,0.0086,1250.0,3.969,5.899708254320348
0.0022,0.0078,1237.5,3.632,6.0887707574565155
0.0023,0.0082,1100.0,3.635,5.224764035208548
0.0022,0.0065,1175.0,2.903,7.497366220440651
0.0021,0.0064,1200.0,2.995,7.704566033636628
0.0022,0.0068,1162.5,3.119,6.581463160751855
0.0022,0.0067,987.5,3.0,5.863671099517706
0.0022,0.0068,1237.5,3.12,6.526340081302758
0.0022,0.0093,1212.5,4.138,6.005233615690719
0.0024,0.0098,1275.0,4.052,5.600140280845773
0.0023,0.0093,1112.5,3.991,5.597513244965766
0.0024,0.0079,1262.5,3.322,5.605924834176641
0.0027,0.0107,1312.5,3.918,5.756376452268422
0.0024,0.0067,1200.0,2.779,7.40421597175513
0.0025,0.01,1375.0,3.961,6.606995070344192
0.0023,0.0084,1250.0,3.642,7.4187892192442835
0.0024,0.0077,1262.5,3.214,6.908769165514306
0.0024,0.013,1425.0,5.362,6.043994332502969
0.0023,0.0092,1250.0,3.938,6.047801548755672
0.0024,0.0083,1212.5,3.527,5.217594203110517
0.0023,0.0081,1312.5,3.521,6.563862669309493
0.0023,0.007,1200.0,3.001,6.111700609822571
0.0024,0.0077,1287.5,3.182,6.713950247679561
0.0027,0.0141,1200.0,5.134,6.028276599184863
0.0023,0.0068,1212.5,2.937,5.781194576151595
0.0022,0.0072,1125.0,3.283,6.8028374278247465
0.0023,0.0068,1175.0,2.987,5.692507729698338
0.0024,0.0072,1112.5,3.05,5.2174561674178
0.003,0.0155,1187.5,5.236,6.9455909310728625
0.0024,0.0067,1262.5,2.797,5.9527743938991176
0.0022,0.008,1137.5,3.71,6.617547484013931
0.0024,0.0087,1450.0,3.689,6.45020439581216
0.0024,0.0082,1162.5,3.446,6.436625703574183
0.0022,0.0077,1225.0,3.462,6.345568714647315
0.115,0.1902,62.5,1.654,1.9409456635423645
0.1166,0.173,62.5,1.483,2.037258794419788
0.1147,0.1833,62.5,1.597,1.9768339266389858
0.1147,0.1849,62.5,1.613,1.9601233549776584
0.1156,0.1778,62.5,1.537,2.1486232757672084
0.1149,0.1871,62.5,1.628,1.9490069474263052
0.116,0.1773,62.5,1.529,2.1034137477339176
0.1167,0.1685,62.5,1.443,2.021668343551624
0.1156,0.1788,62.5,1.546,2.1424127080985453
0.1149,0.1798,62.5,1.565,2.0335982778005386
0.1167,0.1674,62.5,1.434,2.024290918608871
0.1148,0.184,62.5,1.603,1.9789457554179601
0.1145,0.1846,62.5,1.612,1.9532044876708197
0.1165,0.1685,62.5,1.446,2.0343114169154792
0.1148,0.1836,62.5,1.599,1.944936367469161
0.1167,0.1674,62.5,1.435,2.025698343308467
0.1167,0.1693,62.5,1.451,2.020148518066137
0.1164,0.173,62.5,1.486,2.0347216306210045
0.1167,0.1671,62.5,1.432,2.0319515863884456
0.1154,0.1811,62.5,1.57,2.118387244936681
0.1146,0.1848,62.5,1.612,1.965485115682058
0.1151,0.1833,62.5,1.592,2.057307569748635
0.1148,0.1834,62.5,1.598,2.009164386385259
0.1156,0.1812,62.5,1.568,2.1466076652212225
0.1151,0.183,62.5,1.589,2.106184997478889
0.1154,0.1814,62.5,1.572,2.096030254678195
